Название угрозы,Коэффициент угрозы,Отрасль компании,Коэффициент отрасли,Кол-во сотрудников,Регион,Коэффициент региона,Вероятность возникновения угрозы
Privilege Misuse,0.7,Public Administration,0.2,38,APAC,0.25,0.297
Basic Web-API Attacks,0.93,Transportation,0.3,60,EMEA,0.25,0.385
Denial of Service (DoS),0.01,Healthcare,0.8,90,NA,0.41,0.3275
Basic Web-API Attacks,0.93,Mining,0.4,200,EMEA,0.33,0.465
Lost and Stolen Assets,0.07,Entertainment,0.2,60,APAC,0.33,0.16500000000000004
Privilege Misuse,0.7,Public Administration,0.2,38,APAC,0.25,0.297
Lost and Stolen Assets,0.07,Accommodation,0.2,100,EMEA,0.33,0.17500000000000002
System Intrusion,0.49,Healthcare,0.8,40,EMEA,0.33,0.41500000000000004
Miscellaneous Errors,0.85,Administrative,0.8,150,APAC,0.23,0.5075
Miscellaneous Errors,0.85,Administrative,0.8,150,APAC,0.23,0.5075
System Intrusion,0.49,Information,0.2,15,APAC,0.33,0.25875
Denial of Service (DoS),0.01,Retail,0.3,17,APAC,0.25,0.14425000000000002
Lost and Stolen Assets,0.07,Retail,0.3,12,NA,0.21,0.148
System Intrusion,0.49,Information,0.2,15,APAC,0.33,0.25875
System Intrusion,0.49,Entertainment,0.2,80,NA,0.41,0.295
System Intrusion,0.49,Finance,0.3,80,NA,0.41,0.32
System Intrusion,0.49,Construction,0.7,300,APAC,0.23,0.43
System Intrusion,0.49,Information,0.2,15,APAC,0.33,0.25875
Basic Web-API Attacks,0.93,Utilities,0.2,20,APAC,0.25,0.35000000000000003
Privilege Misuse,0.7,Utilities,0.2,23,EMEA,0.25,0.29324999999999996
System Intrusion,0.49,Construction,0.7,300,APAC,0.23,0.43
Lost and Stolen Assets,0.07,Entertainment,0.2,60,APAC,0.33,0.16500000000000004
Miscellaneous Errors,0.85,Transportation,0.3,15,APAC,0.25,0.35374999999999995
Miscellaneous Errors,0.85,Transportation,0.3,80,NA,0.41,0.41
System Intrusion,0.49,Finance,0.3,80,NA,0.41,0.32
Social Engineering,0.54,Manufacturing,0.2,40,NA,0.41,0.2975
Social Engineering,0.54,Public Administration,0.2,90,APAC,0.25,0.27
Lost and Stolen Assets,0.07,Utilities,0.2,84,APAC,0.23,0.146
Basic Web-API Attacks,0.93,Retail,0.3,80,NA,0.21,0.38
Privilege Misuse,0.7,Information,0.2,15,EMEA,0.33,0.31124999999999997
Denial of Service (DoS),0.01,Healthcare,0.8,90,NA,0.41,0.3275
System Intrusion,0.49,Entertainment,0.2,80,NA,0.41,0.295
Privilege Misuse,0.7,Transportation,0.3,54,NA,0.21,0.316
Basic Web-API Attacks,0.93,Wholesale Trade,0.5,70,APAC,0.23,0.43250000000000005
Lost and Stolen Assets,0.07,Entertainment,0.2,60,APAC,0.33,0.16500000000000004
Basic Web-API Attacks,0.93,Real Estate,0.6,100,NA,0.41,0.51
Privilege Misuse,0.7,Public Administration,0.2,38,APAC,0.25,0.297
Privilege Misuse,0.7,Accommodation,0.2,40,NA,0.41,0.33749999999999997
Social Engineering,0.54,Entertainment,0.2,120,LAC,0.12,0.245
Social Engineering,0.54,Manufacturing,0.2,40,NA,0.41,0.2975
Denial of Service (DoS),0.01,Finance,0.3,80,APAC,0.23,0.155
Basic Web-API Attacks,0.93,Real Estate,0.6,100,NA,0.41,0.51
Social Engineering,0.54,Professional,0.3,30,EMEA,0.25,0.28
System Intrusion,0.49,Construction,0.7,300,APAC,0.23,0.43
