Название угрозы,Отрасль компании,Кол-во сотрудников,Регион,Вероятность возникновения угрозы
Social Engineering,Professional,2206,NA,3
Denial of Service (DoS),Retail,1527,NA,3
Basic Web-API Attacks,Entertainment,2590,EMEA,4
Privilege Misuse,Accommodation,146,APAC,3
Miscellaneous Errors,Accommodation,2765,APAC,1
Social Engineering,Manufacturing,2766,EMEA,2
Basic Web-API Attacks,Finance,2754,NA,5
System Intrusion,Transportation,1298,EMEA,5
Basic Web-API Attacks,Entertainment,1888,APAC,5
Privilege Misuse,Wholesale Trade,1099,EMEA,5
Basic Web-API Attacks,Retail,2750,NA,5
Denial of Service (DoS),Mining,1789,APAC,5
System Intrusion,Transportation,2814,APAC,1
Social Engineering,Utilities,597,EMEA,5
Lost and Stolen Assets,Transportation,2189,EMEA,4
Miscellaneous Errors,Information,2669,EMEA,1
Lost and Stolen Assets,Agriculture,2476,EMEA,4
Denial of Service (DoS),Transportation,2271,APAC,2
Miscellaneous Errors,Information,2478,APAC,4
Denial of Service (DoS),Transportation,1187,EMEA,5
Denial of Service (DoS),Agriculture,2638,APAC,5
System Intrusion,Utilities,2631,APAC,2
Miscellaneous Errors,Transportation,2494,EMEA,1
System Intrusion,Accommodation,1157,NA,2
Social Engineering,Professional,1434,NA,1
Basic Web-API Attacks,Agriculture,2841,NA,2
Privilege Misuse,Real Estate,764,LAC,3
Denial of Service (DoS),Utilities,1030,NA,1
Lost and Stolen Assets,Utilities,1656,NA,1
Miscellaneous Errors,Utilities,227,NA,4
Lost and Stolen Assets,Entertainment,1781,APAC,4
Denial of Service (DoS),Accommodation,2223,APAC,5
Denial of Service (DoS),Wholesale Trade,2900,NA,2
Privilege Misuse,Construction,2421,NA,1
Privilege Misuse,Public Administration,120,NA,5
Basic Web-API Attacks,Utilities,204,LAC,4
Basic Web-API Attacks,Finance,1890,EMEA,4
Miscellaneous Errors,Utilities,1279,EMEA,4
Miscellaneous Errors,Finance,246,NA,4
Miscellaneous Errors,Real Estate,148,APAC,4
Lost and Stolen Assets,Utilities,1592,EMEA,1
Privilege Misuse,Agriculture,2575,EMEA,5
Social Engineering,Wholesale Trade,2371,APAC,3
Privilege Misuse,Accommodation,1454,EMEA,3
System Intrusion,Manufacturing,2793,APAC,1
Denial of Service (DoS),Construction,2859,LAC,3
Social Engineering,Retail,2979,NA,4
Privilege Misuse,Public Administration,1706,EMEA,5
Denial of Service (DoS),Accommodation,2214,APAC,5
Social Engineering,Public Administration,2715,APAC,5
Miscellaneous Errors,Public Administration,1312,NA,1
System Intrusion,Transportation,1122,APAC,1
Denial of Service (DoS),Finance,2896,NA,2
Denial of Service (DoS),Transportation,1976,APAC,2
