Название угрозы,Отрасль компании,Кол-во сотрудников,Регион,Вероятность возникновения угрозы
System Intrusion,Accommodation,248,APAC,0.07635493291777036
Social Engineering,Accommodation,242,APAC,0.08297672490509501
Basic Web-API Attacks,Accommodation,381,APAC,0.2241431593362924
Miscellaneous Errors,Accommodation,136,APAC,0.07265311618461108
Denial of Service (DoS),Accommodation,39,APAC,1.568286651160631e-05
Privilege Misuse,Accommodation,400,APAC,0.17822487299343612
Lost and Stolen Assets,Accommodation,426,APAC,0.02034672704538542
System Intrusion,Accommodation,346,EMEA,0.11311066349250035
Social Engineering,Accommodation,235,EMEA,0.08555606810392345
Basic Web-API Attacks,Accommodation,378,EMEA,0.23612085397811783
Miscellaneous Errors,Accommodation,343,EMEA,0.19455907380932824
Denial of Service (DoS),Accommodation,27,EMEA,1.1528336245794068e-05
Privilege Misuse,Accommodation,71,EMEA,0.03358989941099648
Lost and Stolen Assets,Accommodation,369,EMEA,0.018713428322437404
System Intrusion,Accommodation,452,LAC,0.07206373313647274
Social Engineering,Accommodation,400,LAC,0.07102215026859961
Basic Web-API Attacks,Accommodation,135,LAC,0.04112701449701965
Miscellaneous Errors,Accommodation,64,LAC,0.017704685414649188
Denial of Service (DoS),Accommodation,168,LAC,3.498348112208328e-05
Privilege Misuse,Accommodation,391,LAC,0.09021483980631974
Lost and Stolen Assets,Accommodation,411,LAC,0.010165287921184459
System Intrusion,Accommodation,154,NA,0.043029699492143046
Social Engineering,Accommodation,296,NA,0.0921074602726452
Basic Web-API Attacks,Accommodation,230,NA,0.12279778200957876
Miscellaneous Errors,Accommodation,300,NA,0.14544498994977614
Denial of Service (DoS),Accommodation,449,NA,0.0001638586426550021
Privilege Misuse,Accommodation,335,NA,0.13546131984223225
Lost and Stolen Assets,Accommodation,88,NA,0.0038144313682682584
System Intrusion,Education,56,APAC,0.030840315930894074
Social Engineering,Education,197,APAC,0.12082380866025913
Basic Web-API Attacks,Education,108,APAC,0.11365005262121869
Miscellaneous Errors,Education,22,APAC,0.02102245304678991
Denial of Service (DoS),Education,150,APAC,0.00010789404371473465
Privilege Misuse,Education,132,APAC,0.10520287925570294
Lost and Stolen Assets,Education,339,APAC,0.028962098772894882
System Intrusion,Education,213,EMEA,0.12455249361457409
Social Engineering,Education,41,EMEA,0.026700056734619688
Basic Web-API Attacks,Education,407,EMEA,0.45476007233307
Miscellaneous Errors,Education,410,EMEA,0.4159935520573121
Denial of Service (DoS),Education,392,EMEA,0.00029938794557152415
Privilege Misuse,Education,435,EMEA,0.3681162453799843
Lost and Stolen Assets,Education,487,EMEA,0.044177519306631205
System Intrusion,Education,356,LAC,0.10152516211411583
Social Engineering,Education,446,LAC,0.14164917730683166
Basic Web-API Attacks,Education,160,LAC,0.08718841258001453
Miscellaneous Errors,Education,401,LAC,0.19842572933799274
Denial of Service (DoS),Education,473,LAC,0.0001761814800875809
Privilege Misuse,Education,123,LAC,0.05076351761876447
Lost and Stolen Assets,Education,495,LAC,0.0218992092514054
System Intrusion,Education,225,NA,0.11245414880080369
Social Engineering,Education,208,NA,0.11577420396660619
Basic Web-API Attacks,Education,481,NA,0.45935995772315596
Miscellaneous Errors,Education,447,NA,0.38764162603093155
Denial of Service (DoS),Education,46,NA,3.002798677469564e-05
Privilege Misuse,Education,306,NA,0.22132847642248601
Lost and Stolen Assets,Education,12,NA,0.0009304086756147286
System Intrusion,Finance,216,APAC,0.0650848251141506
Social Engineering,Finance,167,APAC,0.056039979318001164
Basic Web-API Attacks,Finance,45,APAC,0.02590917588012627
Miscellaneous Errors,Finance,450,APAC,0.23527101377003157
Denial of Service (DoS),Finance,470,APAC,0.00018496913633499592
